SMILES,Class taste,Taste
Oc1cc2c(cc1O)C1c3ccc(c(c3OCC1(O)C2)O)O,Sweetness,Sweet
CC(C)=CCCC(C)(O)C1CC(O)C(=CC1=O)C,Sweetness,Sweet
CC(=O)OC1C(Oc2cc(cc(c2C1=O)O)O)c1ccc(c(c1)O)O,Sweetness,Non-bitter; Sweet(6)
COc1c(cc2c(c1O)C(=O)C(OC(C)=O)C(O2)c1ccc(c(c1)O)O)O,Sweetness,Sweet
Oc1cc2c(cc1O)C1c3ccc(c(c3OCC1(O)C2)O)O,Sweetness,Sweet
COc1ccc(cc1O)C1Cc2cccc(c2C(=O)O1)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet
OC1CC(O)C(O)C(O)C1O,Sweetness,Non-bitter; Sweet
CON=C(C)C1CCC(=CC1)C=NO,Sweetness,Sweet
[Na+].NC(CC(O)(CC1=CNc2ccccc12)C(O)=O)C([O-])=O,Sweetness,Sweet
COc1ccc(cc1O)C1OC2CC3CCC2(CS1)C3(C)C,Sweetness,Sweet
COc1cc2c(cc1O)CC1(C)c3ccccc3OCC21O,Sweetness,Sweet
COc1ccc(cc1)C(=O)C=CC(O)=O,Sweetness,Sweet
CC1=CCC(=CC1)C=NO,Sweetness,Sweet
COC(C)C1=CC=C(CC1)C=NO,Sweetness,Sweet
COC(C)C1=CCC(=CC1)C=NO,Sweetness,Sweet
COc1ccc(cc1O)C1SCc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1COc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1OCc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1COc2ccccc2S1,Sweetness,Sweet
COC(=O)C(CC1CC2CCC1C2)NC(=O)C(N)CC(O)=O,Sweetness,Sweet
COC(=O)C(CC1CC2CCC1C2)NC(=O)C(N)CC(O)=O,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
COC(=O)C(C)(Cc1ccccc1)NC(=O)C(N)CC(O)=O,Sweetness,Sweet
COC(C)C1=CC=C(C)CC1,Sweetness,Sweet
COC(C)C1=CCC(=CC1)C,Sweetness,Sweet
COc1cccc(c1O)CCC(=O)c1c(cc(cc1O)OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)O,Sweetness,Sweet
CC(C)Oc1ccc(cc1O)CCC(=O)c1c(cc(cc1O)OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)O,Sweetness,Sweet
COCC1=CCC(=CC1)C,Sweetness,Sweet
O=C1NS(=O)(=O)OC=C1,Sweetness,Sweet
CCC(O)CO,Sweetness,Sweetish
CC(O)CO,Sweetness,Sweet
COc1ccc(cc1O)C1OCc2ccccc2O1,Sweetness,Sweet
CC1=CC=C(C)CC1,Sweetness,Sweet
