Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source
CC(O)CN,CC(O)CN,undefined,flavor_db
OCC1OC(O)CC(O)C1O,OCC1OC(O)CC(O)C1O,sweet,flavor_db
CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,undefined,flavor_db
O=C(O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O,undefined,flavor_db
CCC(=O)C(=O)O,CCC(=O)C(=O)O,sweet,flavor_db
CC(C)CC(=O)C(=O)O,CC(C)CC(=O)C(=O)O,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,sweet,flavor_db
O=C(O)CCc1ccccc1,O=C(O)CCc1ccccc1,sweet,flavor_db
OCc1ccc(O)cc1,OCc1ccc(O)cc1,sweet,flavor_db
OCc1ccc(O)cc1,OCc1ccc(O)cc1,bitter,flavor_db
O=Cc1ccc(O)cc1,O=Cc1ccc(O)cc1,sweet,flavor_db
O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1,undefined,flavor_db
CC=O,CC=O,undefined,flavor_db
CC(N)=O,CC(N)=O,undefined,flavor_db
CC(=O)C(C)O,CC(=O)C(C)O,sweet,flavor_db
CC(C)=O,CC(C)=O,undefined,flavor_db
CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,sweet,flavor_db
O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
N,N,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
O=Cc1ccccc1,O=Cc1ccccc1,sweet,flavor_db
O=C(O)c1ccccc1,O=C(O)c1ccccc1,undefined,flavor_db
OCc1ccccc1,OCc1ccccc1,sweet,flavor_db
C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],undefined,flavor_db
CCCC=O,CCCC=O,undefined,flavor_db
CC(O)C(C)O,CC(O)C(C)O,undefined,flavor_db
CCCCO,CCCCO,sweet,flavor_db
CCCC(=O)O,CCCC(=O)O,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,sweet,flavor_db
O=C=O,O=C=O,undefined,flavor_db
O=CO,O=CO,undefined,flavor_db
O=C(O)C=C(CC(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,undefined,flavor_db
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,undefined,flavor_db
O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,sweet,flavor_db
O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,bitter,flavor_db
CC(C)c1ccc(CO)cc1,CC(C)c1ccc(CO)cc1,undefined,flavor_db
CC(C)c1ccc(C=O)cc1,CC(C)c1ccc(C=O)cc1,sour,flavor_db
C=Cc1ccc(O)c(OC)c1,C=Cc1ccc(O)c(OC)c1,undefined,flavor_db
Cc1ccccc1O,Cc1ccccc1O,undefined,flavor_db
Cc1cccc(O)c1,Cc1cccc(O)c1,undefined,flavor_db
CCCCCCCC,CCCCCCCC,undefined,flavor_db
O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1,bitter,flavor_db
CCCCCCCC(=O)O,CCCCCCCC(=O)O,undefined,flavor_db
S,S,undefined,flavor_db
CCCCCCCC=O,CCCCCCCC=O,undefined,flavor_db
COc1ccccc1O,COc1ccccc1O,sweet,flavor_db
CN(C)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,CN(C)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
CCC=O,CCC=O,undefined,flavor_db
O=C(O)C(O)C(O)C(O)C(O)CO,O=C(O)C(O)C(O)C(O)C(O)CO,sweet,flavor_db
CC(O)C(=O)O,CC(O)C(=O)O,undefined,flavor_db
